2025-08-09 06:49:23.171 [info] Started local extension host with pid 1918.
2025-08-09 06:49:25.911 [info] [perf] Render performance baseline is 145ms
2025-08-09 06:49:27.570 [warning] Settings pattern "mcp" doesn't match any settings
2025-08-09 06:49:49.498 [warning] Settings pattern "mcp" doesn't match any settings
2025-08-09 06:51:41.984 [warning] Settings pattern "mcp" doesn't match any settings
2025-08-09 06:51:44.645 [warning] Settings pattern "mcp" doesn't match any settings
2025-08-09 06:51:46.149 [warning] Settings pattern "mcp" doesn't match any settings
2025-08-09 06:51:48.854 [warning] Settings pattern "mcp" doesn't match any settings
2025-08-09 06:51:50.076 [warning] Settings pattern "mcp" doesn't match any settings
2025-08-09 06:51:51.573 [warning] Settings pattern "mcp" doesn't match any settings
2025-08-09 06:52:13.706 [warning] Settings pattern "mcp" doesn't match any settings
2025-08-09 06:52:24.393 [warning] Settings pattern "mcp" doesn't match any settings
2025-08-09 06:52:29.485 [warning] Settings pattern "mcp" doesn't match any settings
2025-08-09 06:52:35.140 [warning] Settings pattern "mcp" doesn't match any settings
2025-08-09 06:52:35.499 [warning] Settings pattern "mcp" doesn't match any settings
